timestamp,context,num_transactions,min_support,min_confidence,num_frequent_itemsets,num_rules,avg_confidence,max_confidence,runtime_seconds,status,error
2026-01-23 11:18:06,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=small|purchase_frequency=medium,5591,0.002,0.1,227,7,0.1285,0.1604,2.25,success,
2026-01-23 11:18:08,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=small|purchase_frequency=medium,3313,0.002,0.1,231,7,0.1552,0.2,2.14,success,
2026-01-23 11:18:12,time_bucket=night|is_weekend=0|day_of_week=4|basket_size_category=medium|purchase_frequency=high,2650,0.002,0.1,1000,288,0.2159,0.7273,4.0,success,
2026-01-23 11:18:16,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=medium,3697,0.002,0.1,219,5,0.1165,0.125,3.91,success,
2026-01-23 11:18:19,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=high,10482,0.002,0.1,225,6,0.1381,0.2043,3.0,success,
2026-01-23 11:18:21,time_bucket=night|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=high,1087,0.002,0.1,254,16,0.5603,1.0,2.36,success,
2026-01-23 11:18:31,time_bucket=morning|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=low,4978,0.002,0.1,5465,2885,0.2444,0.8462,9.63,success,
2026-01-23 11:18:36,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=medium|purchase_frequency=medium,39186,0.002,0.1,997,206,0.1676,0.3463,4.88,success,
2026-01-23 11:18:44,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=low,2742,0.002,0.1,5264,2872,0.2702,1.0,7.96,success,
2026-01-23 11:18:55,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=large|purchase_frequency=high,9912,0.002,0.1,4977,2905,0.2404,0.8,11.49,success,
2026-01-23 11:19:14,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=large|purchase_frequency=high,23548,0.002,0.1,4875,2906,0.2562,0.8293,18.53,success,
2026-01-23 11:19:17,time_bucket=evening|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=high,28402,0.002,0.1,981,226,0.1775,0.4462,3.68,success,
2026-01-23 11:19:20,time_bucket=evening|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=medium,9033,0.002,0.1,838,158,0.1715,0.3913,2.58,success,
2026-01-23 11:19:24,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=low,3342,0.002,0.1,4908,2842,0.2532,0.8889,4.56,success,
2026-01-23 11:19:31,time_bucket=afternoon|is_weekend=0|day_of_week=2|basket_size_category=medium|purchase_frequency=high,77814,0.002,0.1,900,184,0.1748,0.6217,6.57,success,
2026-01-23 11:19:39,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=medium,7441,0.002,0.1,4466,2324,0.2155,0.8421,8.23,success,
2026-01-23 11:19:46,time_bucket=morning|is_weekend=0|day_of_week=2|basket_size_category=medium|purchase_frequency=high,57309,0.002,0.1,975,261,0.2163,0.7117,6.64,success,
2026-01-23 11:19:57,time_bucket=afternoon|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=high,34878,0.002,0.1,5050,2919,0.227,0.6389,11.56,success,
2026-01-23 11:19:59,time_bucket=morning|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=low,3162,0.002,0.1,234,7,0.1971,0.4444,1.98,success,
